%% File generated by CATS v.2.1Tue Apr 13 21:37:29 2021

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 256; Bids: 1000; Distribution: L3; Runs: 1; Parameters generated from distribution in file "qpstuff/L3-qp.txt".; Problems generated from distribution over features in files: qpstuff/cass-qp.txt, qpstuff/cplex-qp.txt, qpstuff/lehman-qp.txt; Seed: 1618490875
% Legacy distribution parameters:
% Number of goods chosen according to Constant distribution (const_goods = 8).
% Price chosen according to Fixed Random distribution (low_fixed = 0.261196, high_fixed = 1).


goods 256
bids 1000
dummy 0

0	0.671026	36	62	132	180	184	189	223	238	#
1	0.495197	10	19	87	134	144	169	182	240	#
2	0.629083	22	26	58	59	81	127	170	193	#
3	0.743001	8	87	88	135	138	174	213	225	#
4	0.699015	14	26	76	113	146	176	218	244	#
5	0.290715	51	70	105	117	151	177	193	247	#
6	0.989768	26	44	63	74	138	165	187	224	#
7	0.962842	9	10	89	103	157	173	196	242	#
8	0.291341	68	124	125	133	220	221	229	235	#
9	0.288976	47	76	79	87	97	123	148	202	#
10	0.711664	6	8	90	98	125	146	178	235	#
11	0.544338	0	18	25	26	139	208	229	254	#
12	0.376176	33	36	117	167	178	184	219	236	#
13	0.514459	27	45	66	92	145	163	169	236	#
14	0.811512	25	27	88	120	182	203	217	225	#
15	0.80985	25	101	185	199	220	223	224	233	#
16	0.922017	46	69	76	95	117	139	163	168	#
17	0.444628	97	112	142	174	190	201	225	253	#
18	0.702663	42	82	118	162	210	224	229	246	#
19	0.39033	13	44	124	143	161	199	235	241	#
20	0.595885	12	34	46	49	103	123	185	246	#
21	0.443955	32	39	41	220	231	238	241	250	#
22	0.778176	16	72	93	114	123	124	215	241	#
23	0.4941	81	118	135	141	183	207	219	234	#
24	0.265739	43	77	166	183	204	219	228	229	#
25	0.87245	56	71	73	91	105	192	207	254	#
26	0.609517	34	80	87	120	135	177	209	217	#
27	0.437981	10	26	58	109	185	195	252	254	#
28	0.687166	12	15	16	21	77	156	166	174	#
29	0.598252	125	143	147	156	192	200	206	207	#
30	0.990623	22	133	139	159	196	230	253	254	#
31	0.810456	73	89	123	138	157	171	181	215	#
32	0.608998	11	43	46	100	136	170	236	245	#
33	0.600659	23	27	35	38	53	113	159	163	#
34	0.44161	11	34	70	91	107	121	123	155	#
35	0.947682	125	143	145	158	183	193	241	255	#
36	0.932308	34	134	156	164	190	228	238	241	#
37	0.804068	15	63	64	89	91	126	192	216	#
38	0.396534	7	57	64	71	108	211	215	240	#
39	0.849911	27	90	165	168	172	202	204	251	#
40	0.521667	13	24	35	163	168	204	209	220	#
41	0.341838	57	77	106	116	144	151	181	199	#
42	0.607291	18	34	40	131	143	203	234	245	#
43	0.342264	0	6	73	76	169	196	223	242	#
44	0.381334	73	131	201	220	222	227	240	244	#
45	0.549797	63	121	164	171	182	184	213	233	#
46	0.410828	19	59	66	117	123	128	166	236	#
47	0.628875	1	19	48	114	174	196	235	241	#
48	0.722845	52	64	95	102	104	119	126	127	#
49	0.925019	34	64	113	183	206	218	220	230	#
50	0.789096	37	42	51	127	129	170	173	200	#
51	0.476072	26	33	62	116	132	191	200	248	#
52	0.981955	24	53	69	108	125	139	147	243	#
53	0.860387	16	17	42	127	161	166	188	254	#
54	0.746676	31	52	55	69	148	173	215	219	#
55	0.620956	15	65	66	172	175	183	247	250	#
56	0.617166	14	51	91	97	153	192	202	230	#
57	0.851735	32	47	63	87	133	157	225	230	#
58	0.530427	30	38	39	107	183	191	193	221	#
59	0.979521	8	19	61	62	80	214	228	243	#
60	0.726694	2	28	29	39	55	173	186	207	#
61	0.365263	4	6	97	119	157	177	196	241	#
62	0.974412	38	64	80	85	104	150	194	217	#
