18,43,53,52,39,44,21,60,11,0,0,60
1303,232,146,96,46,42,40,14,0,0,0,16
948,150,55,31,57,32,11,38,0,0,0,8
428,115,106,39,61,57,16,18,7,0,0,19
486,216,95,45,51,16,23,19,0,0,0,14
1245,270,86,103,82,47,27,4,0,0,0,11
1672,112,42,58,72,19,0,0,0,0,0,7
12,0,46,15,23,50,70,23,0,0,0,62
77,72,45,65,123,64,18,0,0,0,0,27
194,155,69,123,43,25,9,36,0,0,0,33
1228,270,108,73,68,15,26,0,0,0,0,10
3053,267,130,47,55,20,26,0,0,0,0,7
930,214,116,29,34,33,37,8,0,0,0,4
27,60,58,80,72,58,44,14,7,0,0,29
97,61,92,79,95,23,71,0,0,0,0,27
300,88,88,43,72,61,27,18,0,0,0,31
481,179,88,49,11,44,22,36,12,0,0,8
2815,332,121,55,118,40,9,0,0,0,0,4
595,303,134,61,110,24,0,0,0,0,0,17
2732,327,185,88,33,34,12,0,0,0,0,13
473,99,36,62,54,44,36,28,0,0,0,18
1062,248,148,49,63,38,0,21,0,0,0,15
776,232,134,36,36,82,0,0,0,0,0,18
1030,311,188,83,113,24,43,34,0,0,0,6
960,406,216,112,49,38,41,0,0,0,0,21
93,78,42,37,22,16,34,44,21,0,0,36
3700,225,118,30,44,18,0,0,0,0,0,6
320,152,91,141,33,9,0,0,0,0,0,18
3996,497,202,69,63,23,13,0,0,0,0,3
328,161,57,48,17,21,27,39,0,0,0,17
985,291,82,88,58,91,30,4,0,0,0,15
1476,147,103,66,57,49,26,14,0,0,0,9
263,124,200,116,61,114,18,13,7,0,0,29
1113,231,13,22,8,0,0,0,6,0,0,0
116,76,70,21,32,34,28,56,7,0,0,47
22,0,16,45,18,38,63,44,0,0,0,60
597,130,168,81,44,37,8,0,0,0,0,22
587,147,51,51,49,48,38,8,0,0,0,14
