%% File generated by CATS v.2.1Fri Dec 18 21:52:20 2020

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 256; Bids: 1000; Distribution: L3; Runs: 1; Seed: 1608360724
% Legacy distribution parameters:
% Number of goods chosen according to Constant distribution (const_goods = 3).
% Price chosen according to Fixed Random distribution (low_fixed = 0, high_fixed = 1000).


goods 256
bids 1000
dummy 0

0	797.085	90	156	187	#
1	954.544	27	44	120	#
2	666.847	26	142	165	#
3	891.716	112	214	220	#
4	601.067	155	191	218	#
5	205.113	91	115	199	#
6	666.415	172	190	215	#
7	1.91367	35	168	253	#
8	3.57944	78	186	216	#
9	274.111	62	71	78	#
10	624.741	30	75	96	#
11	647.617	68	192	247	#
12	813.379	3	64	125	#
13	791.634	52	152	172	#
14	212.247	54	117	175	#
15	721.11	73	108	116	#
16	705.891	93	147	200	#
17	323.733	161	217	232	#
18	630.796	21	131	181	#
19	447.8	123	136	159	#
20	679.298	26	160	218	#
21	798.42	15	22	46	#
22	102.64	43	207	223	#
23	706.91	49	114	241	#
24	464.042	0	41	206	#
25	561.863	0	243	247	#
26	244.444	17	108	151	#
27	320.248	62	104	209	#
28	339.128	59	132	136	#
29	204.777	119	149	234	#
30	338.963	115	194	240	#
31	571.384	34	163	188	#
32	147.75	65	101	148	#
33	709.611	68	199	210	#
34	346.576	186	218	238	#
35	9.55497	22	107	230	#
36	237.239	32	82	119	#
37	161.168	41	67	102	#
38	696.721	89	219	225	#
39	292.822	12	70	147	#
40	462.451	3	50	238	#
41	925.191	66	70	182	#
42	703.611	65	82	208	#
43	84.4827	19	82	172	#
44	406.586	123	163	253	#
45	107.521	98	165	229	#
46	56.7798	1	144	184	#
47	640.906	179	213	225	#
48	334.339	156	225	228	#
49	87.4557	41	85	132	#
50	57.958	40	106	122	#
51	285.36	57	58	80	#
52	408.781	15	71	146	#
53	518.954	51	237	239	#
54	545.5	11	93	229	#
55	54.7493	26	65	255	#
56	82.133	37	65	156	#
57	272.323	163	167	173	#
58	541.536	97	177	249	#
59	116.919	101	128	227	#
60	820.578	25	76	251	#
61	39.0533	39	85	139	#
62	906.993	31	60	81	#
63	806.186	27	70	164	#
64	573.282	146	157	227	#
65	572.46	111	177	199	#
66	539.647	64	179	249	#
67	374.754	20	126	217	#
68	645.768	11	166	218	#
69	786.782	11	194	212	#
70	900.363	9	81	151	#
71	807.66	33	60	87	#
72	887.807	43	154	214	#
73	187.396	195	225	251	#
74	902.676	42	91	181	#
75	298.92	49	207	250	#
76	355.978	18	40	60	#
77	354.805	20	70	80	#
78	450.868	71	146	209	#
79	236.522	9	173	253	#
80	861.058	59	138	230	#
81	455.053	49	205	238	#
82	161.702	11	181	194	#
83	793.929	16	24	150	#
84	60.3853	41	129	131	#
85	999.22	6	57	174	#
86	54.97	86	110	159	#
87	475.736	59	134	144	#
88	5.37653	153	182	254	#
89	324.671	68	147	193	#
90	248.004	93	108	134	#
91	215.16	97	176	245	#
92	304.326	34	173	238	#
93	520.685	1	24	28	#
94	939.31	50	163	209	#
95	870.99	76	147	248	#
96	310.663	57	136	204	#
97	771.151	60	90	218	#
98	216.488	78	79	144	#
99	221.676	15	104	165	#
100	996.819	71	86	149	#
101	336.963	23	95	218	#
102	473.577	13	53	192	#
103	804.208	15	56	74	#
104	423.85	55	100	221	#
105	650.792	29	95	196	#
106	473.005	38	153	233	#
107	195.435	84	119	131	#
108	966.991	9	12	129	#
109	246.867	106	195	218	#
110	337.282	93	189	231	#
111	583.482	85	132	244	#
112	707.28	43	108	132	#
113	498.446	21	47	142	#
114	5.59023	101	131	160	#
115	305.71	35	229	242	#
116	493.306	76	128	145	#
117	982.217	69	93	131	#
118	925.822	50	125	157	#
